"";"x";"y";"count";"LogSoilmean"
"866768";-63,675;6,10555555666667;1;-0,90606834132946
"870342";-60,6583333333333;6,08888889;1;-0,375147367361596
"870343";-60,6416666666667;6,08888889;1;0,384145547264044
"870360";-60,3583333333333;6,08888889;3;-1,11435706691235
"870374";-60,125;6,08888889;1;-0,478990621922596
"873473";-65,025;6,07222222333333;2;-0,168144055715177
"873508";-64,4416666666667;6,07222222333333;1;-0,811406490905277
"873552";-63,7083333333333;6,07222222333333;5;-0,685445829534624
"873573";-63,3583333333333;6,07222222333333;6;-1,14090268109791
"873735";-60,6583333333333;6,07222222333333;1;-0,625598095073484
"873736";-60,6416666666667;6,07222222333333;1;-0,625598095073484
"873737";-60,625;6,07222222333333;1;1,3724544553548
"876863";-65,075;6,05555555666667;3;0,176067868434812
